name,longitude,latitude,prov,date,key,avg_min,norm_avg_min
Zanthoxylum americanum,-82.241791,42.725464,gbif,2018-05-11,1847496384,10576022.397375444,-0.15026927055035957
Zanthoxylum americanum,-75.789586,45.371874,gbif,2018-05-11,1847493428,10328990.99366994,-0.8171944731943906
Zanthoxylum americanum,-91.484812,44.027528,gbif,2018-05-20,1847582215,10855097.687474877,0.6031666959326304
Zanthoxylum americanum,-84.034022,42.199003,gbif,2018-05-08,1847527645,10662865.105551545,0.08418509387347817
Zanthoxylum americanum,-88.947486,43.059564,gbif,2018-05-17,1847562242,10807621.567851763,0.47499262484107
Zanthoxylum americanum,-88.247642,41.40105,gbif,2018-05-25,1931474277,10847821.642255405,0.5835231289219023
Zanthoxylum americanum,-91.470111,44.025057,gbif,2018-05-21,1847584890,10854710.626348535,0.6021217242559562
Zanthoxylum americanum,-79.992803,43.502928,gbif,2018-05-10,1847587616,10481643.43667299,-0.4050696989479385
Zanthoxylum americanum,-89.900315,43.921878,gbif,2018-05-11,1847496468,10806202.424378686,0.4711612797806196
Zanthoxylum americanum,-88.540846,43.455534,gbif,2018-05-12,1847507261,10777929.28169622,0.3948306144075421
Zanthoxylum americanum,-83.543625,42.42873,gbif,2018-05-27,1848771619,10636012.049204204,0.011688319060946355
Zanthoxylum americanum,-84.111844,42.183167,gbif,2018-05-08,1880462767,10666366.155441832,0.09363708407602846
Zanthoxylum americanum,-87.530097,41.68185,gbif,2018-05-19,1847557473,10811085.48148044,0.48434435609504783
Zanthoxylum americanum,-79.8844,43.269827,gbif,2018-05-19,1847561849,10482586.932614377,-0.4025224874903465
Zanthoxylum americanum,-78.126258000000007,44.4576,gbif,2018-05-30,1848783320,10423966.380171904,-0.5607838390042146
Zanthoxylum americanum,-84.851729,42.882553,gbif,2018-05-07,1847496703,10667882.415077593,0.09773061934997546
Zanthoxylum americanum,-84.244681,41.91542,gbif,2018-06-16,1883464683,10681242.547861489,0.13379975521932752
Zanthoxylum americanum,-88.033812,43.73258,gbif,2018-06-02,1880473005,10749454.500736339,0.31795557432335503
Zanthoxylum americanum,-80.441114,43.406178,gbif,2018-06-07,1880471320,10493557.567335038,-0.3729044200120403
Zanthoxylum americanum,-73.155467,44.359112,gbif,2018-06-21,1880535904,10215052.69575345,-1.1248003940896152
Zanthoxylum americanum,-85.59095,42.341087,gbif,2018-06-25,1890703664,10715325.473243719,0.2258154324825458
Zanthoxylum americanum,-88.032541,43.73275,gbif,2018-06-02,1850936027,10749403.56472547,0.3178180593804722
Zanthoxylum americanum,-74.062568,45.035383,gbif,2018-06-09,1986581525,10256015.441023309,-1.0142108626366633
Zanthoxylum americanum,-89.722318,43.418316,gbif,2018-06-28,1880592286,10820181.317815438,0.508900920159134
Zanthoxylum americanum,-85.464782,42.484584,gbif,2018-06-03,1850909181,10705295.331465648,0.19873646908944348
Zanthoxylum americanum,-89.418897,43.759433,gbif,2018-06-09,1850986785,10796252.952988507,0.4443001069760225
Zanthoxylum americanum,-89.244664,42.481259,gbif,2018-06-23,1931474983,10840776.93366851,0.564504115017562
Zanthoxylum americanum,-73.315691,44.638928,gbif,2018-06-01,1848786112,10223063.25449633,-1.1031738177404127
Zanthoxylum americanum,-77.369443,44.539481,gbif,2018-06-06,1850931053,10393328.278773747,-0.6434993224492004
Zanthoxylum americanum,-75.384903,45.272308,gbif,2018-06-26,1880584448,10311914.456138158,-0.8632970054352676
Zanthoxylum americanum,-92.592339,45.382417,gbif,2018-06-03,1848801293,10835643.012254713,0.5506437655725326
Zanthoxylum americanum,-77.799868,44.296598,gbif,2018-06-25,1880572490,10411159.634731939,-0.5953589625295684
Zanthoxylum americanum,-76.580125,44.506095,gbif,2018-06-16,1880581608,10360053.250814816,-0.7333338715454443
Zanthoxylum americanum,-74.252915,45.149896,gbif,2018-06-09,1986577777,10264392.357125152,-0.9915952097886795
Zanthoxylum americanum,-83.56002,42.510441,gbif,2018-06-05,1850914766,10633637.038119104,0.0052763620164049665
Zanthoxylum americanum,-83.709831,42.24242,gbif,2018-06-01,1848789065,10649091.883187983,0.04700071578189698
Zanthoxylum americanum,-89.417691,43.763941,gbif,2018-06-09,1880495668,10796033.066229045,0.4437064657651761
Zanthoxylum americanum,-76.250245,44.770268,gbif,2018-06-27,1901029048,10346753.689343754,-0.7692394794807766
Zanthoxylum americanum,-84.519143,42.259829,gbif,2018-06-07,1850929006,10678741.71943466,0.12704812170098767
Zanthoxylum americanum,-76.095493,44.902532,gbif,2018-06-03,1986499576,10340577.319857402,-0.7859141872689437
Zanthoxylum americanum,-88.075184,40.52739,gbif,2018-06-16,1880504179,10875577.70845754,0.6584578125240265
Zanthoxylum americanum,-75.317871,45.223442,gbif,2018-06-15,1880495947,10308984.824869987,-0.8712063031921102
Zanthoxylum americanum,-76.582708,44.498614,gbif,2018-06-16,1880589228,10360147.047694743,-0.7330806425947354
Zanthoxylum americanum,-84.626778,39.587093,gbif,2018-06-13,1850976971,10782230.745704215,0.406443529657044
Zanthoxylum americanum,-73.398647,43.573787,gbif,2018-06-18,1880513745,10221920.222135697,-1.1062597293990504
