"","longitude","latitude","date","year","time_frame"
"88",-87.7120533333,42.0602333333,2018-10-20,2018,"T2"
"89",-89.6052204072,40.8584437244,2018-10-20,2018,"T2"
"90",-87.7908466667,42.0100527833,2018-10-06,2018,"T2"
"91",-86.0788775335,43.3019681486,2018-08-19,2018,"T2"
"92",-75.7919287729,45.370789514,2017-08-16,2017,"T2"
"93",-88.9956447419,41.3119542943,2018-08-10,2018,"T2"
"94",-85.7047902746,42.978364172,2018-10-13,2018,"T2"
"95",-80.3924567172,43.3045966797,2018-10-12,2018,"T2"
"96",-83.37359658,42.34666063,2018-10-11,2018,"T2"
"97",-75.797289638,45.3715256185,2018-10-08,2018,"T2"
"98",-73.1496091001,44.0076897014,2018-10-08,2018,"T2"
"99",-73.3436134458,44.6682520258,2018-10-06,2018,"T2"
"100",-73.7976104301,40.7126340224,2018-10-06,2018,"T2"
"101",-76.2112128922,45.4815838812,2018-10-02,2018,"T2"
"102",-75.7919514085,45.37079909,2018-09-28,2018,"T2"
"103",-76.2211616667,45.4893716667,2018-09-28,2018,"T2"
"104",-76.2228166667,45.4894466667,2018-09-28,2018,"T2"
"105",-76.2218633333,45.4883583333,2018-09-28,2018,"T2"
"106",-82.8089886935,40.0638908581,2018-09-28,2018,"T2"
"107",-82.81896782,40.08250495,2018-09-27,2018,"T2"
"108",-82.8212993313,40.0867268863,2018-09-27,2018,"T2"
"109",-74.2907544225,45.0816573943,2018-09-22,2018,"T2"
"110",-93.5292666667,45.0321583333,2018-09-22,2018,"T2"
"111",-81.8007946726,43.2759524961,2018-09-01,2018,"T2"
"112",-76.0234221667,45.4398883333,2018-09-18,2018,"T2"
"113",-90.0497316389,42.4468912778,2018-09-13,2018,"T2"
"114",-83.95209864,38.5091094796,2018-09-12,2018,"T2"
"115",-79.1586482897,43.1494384085,2018-09-08,2018,"T2"
"116",-75.7920274578,45.3708757374,2015-08-28,2015,"T2"
"117",-89.1585634,40.6626421,2018-09-09,2018,"T2"
"118",-93.4306349676,44.8858275602,2018-09-09,2018,"T2"
"119",-75.8687879439,45.3615772007,2018-09-08,2018,"T2"
"120",-89.8844197667,43.86760525,2018-09-07,2018,"T2"
"121",-80.2124866667,43.5352333333,2018-09-07,2018,"T2"
"122",-88.52743,42.86823,2018-08-31,2018,"T2"
"123",-89.8472152333,43.8902055333,2018-09-05,2018,"T2"
"124",-89.8428553,43.8658016833,2018-09-05,2018,"T2"
"125",-80.3592053801,43.4081533331,2018-09-04,2018,"T2"
"126",-72.601811,42.0393605,2018-09-02,2018,"T2"
"127",-81.8005916667,43.2746416667,2018-09-01,2018,"T2"
"128",-88.1891416667,43.5997866667,2018-08-27,2018,"T2"
"129",-79.854169855,43.3156994204,2018-08-28,2018,"T2"
"130",-82.2659563889,42.6558663889,2018-08-27,2018,"T2"
"131",-89.004723,43.173768,2018-08-06,2018,"T2"
"132",-85.3930089623,43.2141993119,2018-08-24,2018,"T2"
"133",-76.5152934,44.3239654,2018-08-26,2018,"T2"
"134",-74.6877777778,45.2686111111,2018-08-25,2018,"T2"
"135",-73.7580185846,43.0902292916,2018-08-20,2018,"T2"
"136",-82.7116440051,42.1799200774,2018-08-23,2018,"T2"
"137",-81.8807833333,43.2342694444,2018-08-20,2018,"T2"
"138",-81.8807833333,43.2342694444,2018-08-20,2018,"T2"
"139",-86.390704969,35.8404433402,2018-08-22,2018,"T2"
"140",-75.86493,45.3605383333,2018-08-22,2018,"T2"
"141",-88.1176611667,43.4220916667,2018-08-16,2018,"T2"
"142",-90.591134,43.179952,2018-08-14,2018,"T2"
"143",-81.8807833333,43.23427,2018-08-20,2018,"T2"
"144",-84.9376890623,42.6948747877,2018-08-19,2018,"T2"
"145",-73.2692985008,44.9649792121,2018-08-16,2018,"T2"
"146",-89.8257039395,44.2093005404,2018-08-19,2018,"T2"
"147",-88.3027801514,41.8736114502,2018-08-18,2018,"T2"
"148",-76.2530517578,44.7672233582,2018-08-17,2018,"T2"
"149",-76.0612500831,44.5032664321,2018-08-16,2018,"T2"
"150",-73.7593489603,43.0900255802,2018-08-17,2018,"T2"
"151",-77.3661270142,44.5396385193,2018-08-16,2018,"T2"
"152",-74.7347335815,41.0182113647,2018-08-14,2018,"T2"
"153",-76.0922152517,42.9922509708,2018-08-15,2018,"T2"
"154",-88.0554721667,44.7183416667,2018-08-12,2018,"T2"
"155",-79.933205,43.2924216667,2018-08-13,2018,"T2"
"156",-93.1922187,44.9103483,2018-08-10,2018,"T2"
"157",-85.1024483229,44.5776928159,2018-06-22,2018,"T2"
"158",-75.7950528536,45.3687125224,2018-08-13,2018,"T2"
"159",-81.7236466667,42.4784133333,2018-08-12,2018,"T2"
"160",-73.51117,42.0179166667,2018-08-11,2018,"T2"
"161",-85.4689160642,43.0550015811,2018-08-12,2018,"T2"
"162",-85.4690266836,43.0547223126,2018-08-12,2018,"T2"
"163",-87.662038,44.28221,2018-08-10,2018,"T2"
"164",-78.2693843544,44.2974919221,2018-08-09,2018,"T2"
"165",-73.9668312483,40.6647412107,2018-08-09,2018,"T2"
"166",-73.9672583063,40.665523368,2018-08-09,2018,"T2"
"167",-93.4686202928,45.3446076729,2018-08-04,2018,"T2"
"168",-73.2182216667,44.03,2016-09-19,2016,"T2"
"169",-76.0298149288,44.5083533012,2018-08-05,2018,"T2"
"170",-91.0596370139,43.9051049296,2018-08-07,2018,"T2"
"171",-84.66382,38.8493333333,2018-08-07,2018,"T2"
"172",-86.3600885828,32.2017104747,2018-08-07,2018,"T2"
"173",-89.31828,41.19402,2018-08-04,2018,"T2"
"174",-77.1045445,44.3518,2018-08-05,2018,"T2"
"175",-85.5909500122,42.3410873413,2018-06-25,2018,"T2"
"176",-89.317605,41.1974516667,2018-08-04,2018,"T2"
"177",-89.3254316667,41.2041266667,2018-08-04,2018,"T2"
"178",-85.7419884026,39.7630715546,2018-08-04,2018,"T2"
"179",-78.1543111667,44.19768,2018-08-02,2018,"T2"
"180",-81.8780517578,43.2355537415,2018-07-30,2018,"T2"
"181",-84.4785125648,41.5771648894,2018-08-03,2018,"T2"
"182",-76.6165,45.45857,2018-08-03,2018,"T2"
"183",-81.8780517578,43.2355537415,2018-07-30,2018,"T2"
"184",-80.3399116667,43.416455,2018-08-02,2018,"T2"
"185",-84.5952218492,42.5857760618,2018-08-02,2018,"T2"
"186",-76.2518833333,44.7695111111,2018-08-01,2018,"T2"
"187",-92.7118641884,44.9335525465,2018-07-31,2018,"T2"
"188",-90.6347883333,43.5967833333,2018-07-31,2018,"T2"
"189",-81.8741111111,43.2312638889,2018-07-30,2018,"T2"
"190",-76.25197,44.76948,2018-07-27,2018,"T2"
"191",-93.3230148164,44.9990576227,2018-07-29,2018,"T2"
"192",-93.1303530671,45.1917844013,2018-07-29,2018,"T2"
"193",-88.831295,43.2747065,2018-07-22,2018,"T2"
"194",-90.116331887,43.1481645653,2018-07-26,2018,"T2"
"195",-88.9901716667,41.3192466667,2018-07-27,2018,"T2"
"196",-84.6867833561,41.6949377117,2018-07-26,2018,"T2"
"197",-80.5398416667,42.6578616667,2018-07-27,2018,"T2"
"198",-91.54743863,42.21227604,2018-07-25,2018,"T2"
"199",-87.4595584461,41.6196536593,2018-07-25,2018,"T2"
"200",-87.831582,41.817465,2018-07-21,2018,"T2"
"201",-92.64360536,44.52689545,2018-07-24,2018,"T2"
"202",-74.84736,45.157467,2018-04-08,2018,"T2"
"203",-89.9009163333,43.9224426667,2018-07-22,2018,"T2"
"204",-92.04322285,44.04761215,2018-07-22,2018,"T2"
"205",-89.02699435,43.8843574333,2018-07-21,2018,"T2"
"206",-92.041808,44.054319,2018-07-21,2018,"T2"
"207",-83.3652279341,44.4341255632,2018-07-09,2018,"T2"
"208",-81.9549269464,42.7285462669,2018-07-18,2018,"T2"
"209",-85.5366666667,42.984045,2018-07-18,2018,"T2"
"210",-75.804597633,45.4203985865,2018-07-18,2018,"T2"
"211",-77.875898745,44.203093488,2018-07-17,2018,"T2"
"212",-75.942334,45.33963,2018-03-04,2018,"T2"
"213",-76.250341,45.268689,2018-03-04,2018,"T2"
"214",-80.3425888889,43.3775888889,2018-07-15,2018,"T2"
"215",-89.7723152396,39.8931156937,2018-07-14,2018,"T2"
"216",-75.055903,45.194423,2018-02-18,2018,"T2"
"217",-75.062429,45.191205,2018-02-18,2018,"T2"
"218",-75.060678,45.181114,2018-02-18,2018,"T2"
"219",-93.1805419922,45.1053657532,2018-07-08,2018,"T2"
"220",-88.522258,44.6988370001,2018-07-07,2018,"T2"
"221",-78.2693634033,44.2991065979,2018-07-10,2018,"T2"
"222",-80.2838698046,43.3797854873,2018-07-07,2018,"T2"
"223",-76.2502446921,44.7702677827,2018-06-27,2018,"T2"
"224",-87.9002227783,42.2304992676,2018-07-07,2018,"T2"
"225",-80.3134972222,43.3212555556,2018-07-06,2018,"T2"
"226",-76.3307626582,44.5710465606,2011-08-06,2011,"T2"
"227",-89.90029105,43.9185931333,2018-07-03,2018,"T2"
"228",-89.9965698172,40.3662083664,2018-07-03,2018,"T2"
"229",-85.5601303653,43.4003950004,2018-07-02,2018,"T2"
"230",-91.952195,44.8506366667,2018-06-26,2018,"T2"
"231",-78.2691316667,44.2988366667,2018-07-01,2018,"T2"
"232",-73.958175,45.4462966667,2018-07-02,2018,"T2"
"233",-89.7223175167,43.4183164333,2018-06-28,2018,"T2"
"234",-76.582708,44.498614,2018-06-16,2018,"T2"
"235",-79.9492866667,43.4715916667,2018-06-26,2018,"T2"
"236",-85.62937672,37.9874548223,2018-06-27,2018,"T2"
"237",-75.3849029541,45.2723083496,2018-06-26,2018,"T2"
"238",-76.580125,44.506095,2018-06-16,2018,"T2"
"239",-89.2446639907,42.481259364,2018-06-23,2018,"T2"
"240",-88.2186393813,43.1514148834,2018-06-26,2018,"T2"
"241",-88.218568219,43.1514609838,2018-06-26,2018,"T2"
"242",-92.9229321808,43.8478820027,2018-06-19,2018,"T2"
"243",-91.9271,44.8599133333,2018-06-25,2018,"T2"
"244",-77.7998683333,44.2965983333,2018-06-25,2018,"T2"
"245",-87.7984564193,43.537410996,2018-06-25,2018,"T2"
"246",-88.9935833333,41.319345,2018-06-23,2018,"T2"
"247",-88.4751779678,42.5900866666,2018-06-23,2018,"T2"
"248",-89.8069416833,44.0073504833,2018-06-22,2018,"T2"
"249",-89.8070342833,44.00869195,2018-06-22,2018,"T2"
"250",-77.5897611213,44.1305803042,2018-06-21,2018,"T2"
"251",-77.1596775552,43.8510668645,2018-06-22,2018,"T2"
"252",-84.2446805726,41.9154202762,2018-06-16,2018,"T2"
"253",-73.15546695,44.35911196,2018-06-21,2018,"T2"
"254",-82.6322801,41.75508792,2018-06-20,2018,"T2"
"255",-74.6407289711,45.2738971264,2018-06-19,2018,"T2"
"256",-73.3986471512,43.573787073,2018-06-18,2018,"T2"
"257",-87.8154726448,44.4000428166,2018-06-03,2018,"T2"
"258",-88.0751840369,40.5273899697,2018-06-16,2018,"T2"
"259",-75.3178710938,45.2234420776,2018-06-15,2018,"T2"
"260",-89.4176906,43.7639409,2018-06-09,2018,"T2"
"261",-75.7277819329,44.8672691267,2018-06-15,2018,"T2"
"262",-89.4188975,43.759433,2018-06-09,2018,"T2"
"263",-85.5808181763,42.3573150635,2018-06-13,2018,"T2"
"264",-85.58090272,42.3612312088,2018-06-13,2018,"T2"
"265",-84.6267776489,39.5870933533,2018-06-13,2018,"T2"
"266",-75.7775803283,44.9854801646,2018-05-29,2018,"T2"
"267",-88.033812,43.73258,2018-06-02,2018,"T2"
"268",-88.032541,43.73275,2018-06-02,2018,"T2"
"269",-77.3694430556,44.5394813889,2018-06-06,2018,"T2"
"270",-80.4411136779,43.4061781434,2018-06-07,2018,"T2"
"271",-84.51914262,42.25982922,2018-06-07,2018,"T2"
"272",-80.1942893398,43.5435097525,2018-06-06,2018,"T2"
"273",-88.2476415314,41.401049773,2018-05-25,2018,"T2"
"274",-89.8524368667,43.0219882833,2018-06-03,2018,"T2"
"275",-83.56002003,42.5104409,2018-06-05,2018,"T2"
"276",-73.315039,44.641466,2018-06-01,2018,"T2"
"277",-73.3154986617,44.6423784097,2018-06-01,2018,"T2"
"278",-92.5923394331,45.3824172813,2018-06-03,2018,"T2"
"279",-76.0954929726,44.9025321389,2018-06-03,2018,"T2"
"280",-85.46478212,42.48458365,2018-06-03,2018,"T2"
"281",-87.7113887296,42.0602431801,2018-06-02,2018,"T2"
"282",-87.7115060762,42.0600215206,2018-06-02,2018,"T2"
"283",-87.79123005,42.01023446,2018-06-02,2018,"T2"
"284",-83.7098312378,42.2424201965,2018-06-01,2018,"T2"
"285",-77.9757838116,43.0913090914,2018-05-30,2018,"T2"
"286",-74.6521496494,45.167926359,2018-06-01,2018,"T2"
"287",-74.6517733858,45.1678016782,2018-06-01,2018,"T2"
"288",-73.3156908118,44.6389275184,2018-06-01,2018,"T2"
"289",-86.6468167936,41.6682661807,2018-05-31,2018,"T2"
"290",-78.1262583333,44.4576,2018-05-30,2018,"T2"
"291",-90.8666252718,43.7408001136,2018-05-19,2018,"T2"
"292",-76.2476577424,45.4877320072,2018-05-31,2018,"T2"
"293",-75.7517218218,45.4385095742,2018-05-31,2018,"T2"
"294",-86.0212287103,40.0766318091,2018-05-16,2018,"T2"
"295",-75.790161565,45.3704794916,2018-05-30,2018,"T2"
"296",-75.7874893305,45.3713448812,2018-05-30,2018,"T2"
"297",-75.8575282619,45.349019263,2018-05-30,2018,"T2"
"298",-75.8803451434,45.3659216222,2018-05-30,2018,"T2"
"299",-75.8815694042,45.3660163377,2018-05-30,2018,"T2"
"300",-75.8843358514,45.3656257829,2018-05-30,2018,"T2"
"301",-83.543625,42.42873,2018-05-27,2018,"T2"
"302",-76.2378264406,45.1002668823,2018-05-29,2018,"T2"
"303",-76.1865595356,45.1695244527,2018-05-29,2018,"T2"
"304",-91.2513519,43.9214995,2018-05-18,2018,"T2"
"305",-92.7476978302,45.5196390876,2018-05-28,2018,"T2"
"306",-75.7924132795,45.3701955965,2018-05-28,2018,"T2"
"307",-75.792121254,45.3696709313,2018-05-28,2018,"T2"
"308",-75.7955708262,45.3680756037,2018-05-28,2018,"T2"
"309",-75.7971851808,45.3715737071,2018-05-28,2018,"T2"
"310",-75.7977032662,45.3729372332,2018-05-28,2018,"T2"
"311",-85.439095,43.276795,2018-05-26,2018,"T2"
"312",-85.00171025,42.4749079444,2017-08-23,2017,"T2"
"313",-75.3848353588,45.2723194845,2018-05-25,2018,"T2"
"314",-85.54068,43.2169383333,2018-05-24,2018,"T2"
"315",-75.3511302174,45.5241246382,2018-05-24,2018,"T2"
"316",-75.9496691824,45.3439766681,2018-05-24,2018,"T2"
"317",-79.9928033333,43.5029283333,2018-05-10,2018,"T2"
"318",-89.81776285,43.99843425,2018-05-22,2018,"T2"
"319",-91.470111,44.0250571667,2018-05-21,2018,"T2"
"320",-91.48481165,44.0275281667,2018-05-20,2018,"T2"
"321",-88.947486,43.059564,2018-05-17,2018,"T2"
"322",-79.8844,43.2698266667,2018-05-19,2018,"T2"
"323",-87.5300966667,41.68185,2018-05-19,2018,"T2"
"324",-93.916834686,46.3432045514,2018-05-19,2018,"T2"
"325",-80.3424002535,43.3774989445,2018-05-19,2018,"T2"
"326",-79.6459116667,42.9210033333,2018-05-18,2018,"T2"
"327",-89.9016497667,43.92054195,2018-05-18,2018,"T2"
"328",-88.54145436,41.64161431,2018-05-17,2018,"T2"
"329",-85.870777,42.66981854,2011-07-15,2011,"T2"
"330",-82.8291893005,41.4153116624,2018-05-15,2018,"T2"
"331",-84.0340221545,42.1990029727,2018-05-08,2018,"T2"
"332",-92.5962725,44.5543133333,2018-05-13,2018,"T2"
"333",-87.8635686,41.7719438,2018-05-13,2018,"T2"
"334",-88.540846,43.455534,2018-05-12,2018,"T2"
"335",-89.9025593333,43.919629,2018-05-12,2018,"T2"
"336",-84.8517288535,42.8825526389,2018-05-07,2018,"T2"
"337",-89.9003153333,43.9218781667,2018-05-11,2018,"T2"
"338",-82.2417908907,42.7254638354,2018-05-11,2018,"T2"
"339",-93.3956965619,44.8711190187,2018-05-11,2018,"T2"
"340",-75.791731,45.369462,2018-05-11,2018,"T2"
"341",-75.789586,45.371874,2018-05-11,2018,"T2"
"342",-84.1118444444,42.1831666667,2018-05-08,2018,"T2"
"343",-75.6624222222,44.4305888889,2016-05-11,2016,"T2"
"344",-93.5004115105,44.8978054245,2018-05-07,2018,"T2"
"345",-87.826805,41.881877,2018-05-06,2018,"T2"
"346",-87.7504583333,40.13985,2018-05-05,2018,"T2"
"347",-83.74968,42.3016466667,2018-04-30,2018,"T2"
"348",-80.3535916667,43.3842083333,2018-04-30,2018,"T2"
"349",-93.69624,44.6669,2018-04-29,2018,"T2"
"350",-87.7754638347,42.0649904706,2018-04-29,2018,"T2"
"351",-87.77812442,42.06329827,2018-04-29,2018,"T2"
"352",-87.82635093,41.88113968,2018-04-29,2018,"T2"
"353",-87.82609877,41.8811878,2018-04-29,2018,"T2"
"354",-87.77690375,42.06466126,2018-04-29,2018,"T2"
"355",-87.7804317168,42.0649146283,2018-04-29,2018,"T2"
"356",-93.4516755213,44.9548140821,2018-04-29,2018,"T2"
"357",-87.774151,42.065027,2018-04-29,2018,"T2"
"358",-87.77811885,42.06355631,2018-04-29,2018,"T2"
"359",-87.81423,42.1422666667,2018-04-28,2018,"T2"
"360",-71.3967108262,42.3968830845,2018-04-27,2018,"T2"
"361",-80.586205,35.3113583333,2018-04-27,2018,"T2"
"362",-71.1872791546,42.3129033565,2018-04-25,2018,"T2"
"363",-89.8777751667,43.8577036667,2018-04-21,2018,"T2"
"364",-89.3475324105,41.8605227463,2018-04-21,2018,"T2"
"365",-83.7155953423,42.2484117095,2018-04-20,2018,"T2"
"366",-83.7155747536,42.2479433268,2018-04-20,2018,"T2"
"367",-87.7113395064,42.0590004105,2018-04-17,2018,"T2"
"368",-76.484743,44.982636,2017-12-15,2017,"T2"
"369",-76.484205,44.982913,2017-12-15,2017,"T2"
"370",-84.10709,42.184382,2018-04-12,2018,"T2"
"371",-78.2855415362,44.346644787,2018-04-05,2018,"T2"
"372",-87.83155,42.1454583333,2018-03-27,2018,"T2"
"373",-74.649906,45.297591,2017-10-21,2017,"T2"
"374",-77.3678333333,38.9781666667,2018-03-22,2018,"T2"
"375",-74.647427,45.301393,2017-10-14,2017,"T2"
"376",-76.5491938591,44.5039586875,2017-05-21,2017,"T2"
"377",-74.677646,45.265845,2017-10-08,2017,"T2"
"378",-74.67567,45.265603,2017-10-08,2017,"T2"
"379",-82.6330777778,41.7552694444,2016-05-08,2016,"T2"
"380",-74.678016,45.263524,2017-10-08,2017,"T2"
"381",-74.681521,45.266563,2017-10-08,2017,"T2"
"382",-74.688552,45.270299,2017-10-01,2017,"T2"
"383",-74.697083,45.274638,2017-10-01,2017,"T2"
"384",-74.695948,45.275471,2017-10-01,2017,"T2"
"385",-80.0843328,43.3334074,2017-09-05,2017,"T2"
"386",-74.68774,45.267936,2017-10-01,2017,"T2"
"387",-75.519813733,45.2808847435,2017-09-24,2017,"T2"
"388",-76.2486734,45.2679731,2018-03-04,2018,"T2"
"389",-76.21153,45.072612,2017-09-17,2017,"T2"
"390",-76.215148,45.074645,2017-09-17,2017,"T2"
"391",-85.3560511627,42.7764483153,2018-03-03,2018,"T2"
"392",-76.220467,45.071568,2017-09-17,2017,"T2"
"393",-76.220467,45.071568,2017-09-17,2017,"T2"
"394",-84.111071,42.186061,2018-02-27,2018,"T2"
"395",-76.213693,45.072475,2017-09-17,2017,"T2"
"396",-76.210703,45.072314,2017-09-17,2017,"T2"
"397",-75.0524014,45.1986383,2018-02-18,2018,"T2"
"398",-78.0940728935,44.5547608037,2011-06-28,2011,"T2"
"399",-83.753457,42.305474,2018-02-06,2018,"T2"
"400",-76.421951,44.689476,2003-07-19,2003,"T2"
"401",-89.4945697178,40.6814588652,2018-01-28,2018,"T2"
"402",-81.724871,42.473813,2006-05-06,2006,"T2"
"403",-75.350468,45.258123,2017-09-17,2017,"T2"
"404",-77.1233582497,44.0000386829,2017-08-06,2017,"T2"
"405",-93.4312024817,44.944414016,2015-10-17,2015,"T2"
"406",-87.78114724,42.00312676,2018-01-14,2018,"T2"
"407",-75.2266415011,45.2072487999,2014-07-16,2014,"T2"
"408",-83.078892,42.262709,2013-06-14,2013,"T2"
"409",-80.3534083333,43.3835833333,2014-08-19,2014,"T2"
"410",-93.435202,44.944713,2015-10-17,2015,"T2"
"411",-93.4402576208,44.9458719977,2010-10-11,2010,"T2"
"412",-81.1656723022,43.0618286133,2017-12-23,2017,"T2"
"413",-89.4340498477,40.6338438945,2017-11-11,2017,"T2"
"414",-76.56538,44.45066,2011-09-20,2011,"T2"
"415",-82.6778264624,41.756908726,2017-11-28,2017,"T2"
"416",-88.480055,40.7675283333,2017-11-21,2017,"T2"
"417",-77.2153902054,43.8932536415,2017-10-23,2017,"T2"
"418",-79.05248344,43.13615235,2017-11-04,2017,"T2"
"419",-83.0792694444,42.2654222222,2017-05-26,2017,"T2"
"420",-76.0723,44.3583,2017-06-16,2017,"T2"
"421",-87.9913783333,42.88428,2017-10-23,2017,"T2"
"422",-73.224314,44.385642,2017-10-24,2017,"T2"
"423",-76.125579,45.435876,2017-07-23,2017,"T2"
"424",-75.7172388889,44.9436305556,2017-10-20,2017,"T2"
"425",-89.9692134732,43.9507760032,2017-10-21,2017,"T2"
"426",-75.0164489746,44.9730796814,2017-10-19,2017,"T2"
"427",-75.0190887451,44.9718971252,2017-10-19,2017,"T2"
"428",-77.12908661,44.0037518,2008-05-02,2008,"T2"
"429",-76.043406,45.424497,2017-07-23,2017,"T2"
"430",-76.044657,45.422449,2017-07-23,2017,"T2"
"431",-89.3257105387,41.198237816,2017-08-11,2017,"T2"
"432",-83.796136,40.057807,2017-09-30,2017,"T2"
"433",-80.349047184,43.3844037355,2017-09-17,2017,"T2"
"434",-87.830355,41.838663,2017-10-07,2017,"T2"
"435",-80.35369275,43.38176463,2017-10-07,2017,"T2"
"436",-82.5333944523,42.1589138965,2017-10-04,2017,"T2"
"437",-74.6367158,45.3111798,2017-10-01,2017,"T2"
"438",-93.3518816718,45.1758031268,2017-09-29,2017,"T2"
"439",-93.3516577073,45.1757250494,2017-09-29,2017,"T2"
